Job Name: genejc_nn_expression_v2_L2_100epochs_120824
Script: init_nn_expression_v2.py
Working SCRATCH directory is /scratch/pmc019/jceliberti/run_conda/478396
Results will be store in /group/pmc019/jceliberti/conda_results/478396
Epoch 1, Loss: 632.8130846917629, Training Accuracy: 0.7193958215697346, Training Precision: 0.8341228145723882, Training Recall: 0.5472369759294835, Training F1 Score: 0.6608891466784946
Epoch 2, Loss: 584.9119077324867, Training Accuracy: 0.7364201016374929, Training Precision: 0.8640717520027865, Training Recall: 0.560684823143858, Training F1 Score: 0.6800767596463574
Epoch 3, Loss: 530.9485131502151, Training Accuracy: 0.7610389610389611, Training Precision: 0.8980858768753234, Training Recall: 0.5885410780879196, Training F1 Score: 0.7110868377935554
Epoch 4, Loss: 426.12980972230434, Training Accuracy: 0.8081309994353473, Training Precision: 0.9237406716417911, Training Recall: 0.6714318002034129, Training F1 Score: 0.7776323539035404
Epoch 5, Loss: 312.7251657396555, Training Accuracy: 0.8748164878599661, Training Precision: 0.9472619368761802, Training Recall: 0.7936489998869929, Training F1 Score: 0.8636782881387198
Epoch 6, Loss: 252.2629272378981, Training Accuracy: 0.9057029926595144, Training Precision: 0.9623856756408605, Training Recall: 0.8442761893999322, Training F1 Score: 0.8994702624608717
Epoch 7, Loss: 223.66006284207106, Training Accuracy: 0.9147092038396386, Training Precision: 0.9663806800127105, Training Recall: 0.8591931291671375, Training F1 Score: 0.9096401758741364
Epoch 8, Loss: 216.32856929674745, Training Accuracy: 0.9160361377752682, Training Precision: 0.9667173830353747, Training Recall: 0.8616227822352808, Training F1 Score: 0.9111496175908221
Epoch 9, Loss: 213.2151497323066, Training Accuracy: 0.9190852625635234, Training Precision: 0.9705583756345177, Training Recall: 0.8642784495423211, Training F1 Score: 0.9143403670273178
Epoch 10, Loss: 213.26743928343058, Training Accuracy: 0.9185206098249576, Training Precision: 0.9700431581619701, Training Recall: 0.86360040682563, Training F1 Score: 0.9137322891134094
Epoch 11, Loss: 205.02394420094788, Training Accuracy: 0.9219085262563523, Training Precision: 0.9719342604298357, Training Recall: 0.8687987343202622, Training F1 Score: 0.9174771764425085
Epoch 12, Loss: 200.32470018789172, Training Accuracy: 0.9222190852625636, Training Precision: 0.9726105383009678, Training Recall: 0.8687987343202622, Training F1 Score: 0.9177783746679798
Epoch 13, Loss: 206.9884840939194, Training Accuracy: 0.92128740824393, Training Precision: 0.9704063604240283, Training Recall: 0.8689682449994349, Training F1 Score: 0.916890240267096
Epoch 14, Loss: 198.65500492416322, Training Accuracy: 0.9228402032749858, Training Precision: 0.971219850116506, Training Recall: 0.8713978980675783, Training F1 Score: 0.9186049974685052
Epoch 15, Loss: 204.42815632931888, Training Accuracy: 0.9235177865612648, Training Precision: 0.9722134711108311, Training Recall: 0.8718499265453724, Training F1 Score: 0.919300545145819
Epoch 16, Loss: 203.59609255753458, Training Accuracy: 0.9220214568040656, Training Precision: 0.9708701134930643, Training Recall: 0.870041812634196, Training F1 Score: 0.9176947374694558
Epoch 17, Loss: 206.97540107183158, Training Accuracy: 0.9220496894409937, Training Precision: 0.971347428210792, Training Recall: 0.8696462877161261, Training F1 Score: 0.9176877440896759
Epoch 18, Loss: 200.8665111977607, Training Accuracy: 0.9237154150197628, Training Precision: 0.9730599369085173, Training Recall: 0.8714544016273025, Training F1 Score: 0.9194586860617623
Epoch 19, Loss: 207.99274636432528, Training Accuracy: 0.9202428006775832, Training Precision: 0.9684409448818898, Training Recall: 0.8686857272008136, Training F1 Score: 0.9158550025317964
Epoch 20, Loss: 216.4300433062017, Training Accuracy: 0.9204404291360813, Training Precision: 0.9681011702529256, Training Recall: 0.869420273477229, Training F1 Score: 0.9161109788044772
Epoch 21, Loss: 199.32848843559623, Training Accuracy: 0.9228684359119141, Training Precision: 0.9718158890290037, Training Recall: 0.8708893660300598, Training F1 Score: 0.9185887120805769
Epoch 22, Loss: 208.33694544062018, Training Accuracy: 0.9200734048560135, Training Precision: 0.9668404195189348, Training Recall: 0.8698723019550232, Training F1 Score: 0.9157966746973618
Epoch 23, Loss: 194.7068553203717, Training Accuracy: 0.9236871823828345, Training Precision: 0.9710372557642772, Training Recall: 0.8733190190982032, Training F1 Score: 0.9195894689870594
Epoch 24, Loss: 199.600361071527, Training Accuracy: 0.9231507622811971, Training Precision: 0.9718931182253592, Training Recall: 0.8713978980675783, Training F1 Score: 0.9189060358696299
Epoch 25, Loss: 205.20317795313895, Training Accuracy: 0.9221908526256353, Training Precision: 0.9694018597637597, Training Recall: 0.8717934229856481, Training F1 Score: 0.9180103528291783
Epoch 26, Loss: 202.4460477679968, Training Accuracy: 0.921682665160926, Training Precision: 0.9711453466346761, Training Recall: 0.8690812521188835, Training F1 Score: 0.9172829198473282
Epoch 27, Loss: 196.30548241734505, Training Accuracy: 0.9239695087521175, Training Precision: 0.9713513853113024, Training Recall: 0.8736015368968245, Training F1 Score: 0.9198869552283206
Epoch 28, Loss: 200.69815992936492, Training Accuracy: 0.9233483907396951, Training Precision: 0.9693628218783285, Training Recall: 0.8742230760537913, Training F1 Score: 0.9193380670845837
Epoch 29, Loss: 208.0590892531909, Training Accuracy: 0.9212309429700734, Training Precision: 0.9693954659949622, Training Recall: 0.8698157983952989, Training F1 Score: 0.9169098814700102
Epoch 30, Loss: 201.94950800575316, Training Accuracy: 0.9214003387916432, Training Precision: 0.9689937106918239, Training Recall: 0.8705503446717143, Training F1 Score: 0.9171379248764807
